SeqName	length	bit-score	eValue	hitName	GOs	ACC
contig_149	558	85.1149	4.71808E-17	ref|XP_011399390.1|Inner membrane ALBINO3-like protein 2, chloroplastic [Auxenochlorella protothecoides]	GO:0016020, GO:0016021, GO:0090150, GO:0032977	A0A087SL54	
contig_1422	692	76.2554	2.77956E-14	dbj|GFC73822.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0071793, GO:0019213	A0A699QPL0	
contig_2004	706	213.386	2.12237E-67	dbj|GFC73822.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0071793, GO:0019213	A0A699QPL0	
contig_1058	735	54.299	1.42863E-5	ref|XP_002959790.1|hypothetical protein VOLCADRAFT_101312, partial [Volvox carteri f. nagariensis]	GO:0008270, GO:0046872, GO:0016491, GO:0016020, GO:0016021, GO:0071704, GO:0005886	D8UMA4	
contig_3227	601	237.654	2.16546E-75	gb|KAF1853088.1|hypothetical protein Lal_00009447 [Lupinus albus]	GO:0008270, GO:0046872, GO:0016491, GO:0071704	A0A6A5KZ53	
contig_423	614	128.257	2.05612E-31	gb|KAF1855864.1|hypothetical protein Lal_00001536 [Lupinus albus]	GO:0005525, GO:0009507, GO:0003924, GO:0016020, GO:0016021, GO:0008168, GO:0071704, GO:0005886, GO:0009536	A0A6A5KZQ7	
contig_2207	563	92.0485	4.14762E-21	gb|EEF26179.1|conserved hypothetical protein [Ricinus communis]	GO:0016829, GO:0071555	B9TD84	
contig_612	528	33.4982	36.2896	emb|VAI42312.1|unnamed protein product [Triticum turgidum subsp. durum]	GO:0060548, GO:0005544	A0A446V368	
contig_984	648	79.337	2.14711E-14	dbj|GFB11646.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0055085, GO:0016020, GO:0016021, GO:0022857	A0A699KY50	
contig_1337	505	185.652	9.15792E-54	dbj|GFB26972.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0055085, GO:0016020, GO:0016021, GO:0022857	A0A699LA80	
contig_1383	531	93.2041	1.28583E-19	dbj|GBG60497.1|hypothetical protein CBR_g5671 [Chara braunii]	GO:0055085, GO:0016020, GO:0016021, GO:0022857	A0A388JRU6	
contig_1492	601	80.8777	1.56943E-17	gb|EEF25173.1|conserved hypothetical protein [Ricinus communis]	GO:0055085, GO:0016020, GO:0016021, GO:0022857	B9TG43	
contig_1926	655	143.28	5.26364E-37	dbj|GFB26972.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0055085, GO:0016020, GO:0016021, GO:0022857	A0A699LA80	
contig_2136	1047	305.449	2.16351E-98	ref|XP_019703449.1|uncharacterized protein LOC109505404 [Elaeis guineensis]	GO:0055085, GO:0016020, GO:0016021, GO:0022857	A0A6J0PEA8	
contig_2292	662	96.6709	1.52356E-20	gb|OAO89100.1|hypothetical protein AXX17_ATUG04530 [Arabidopsis thaliana]	GO:0055085, GO:0016020, GO:0016021, GO:0022857	A0A178U618	
contig_2449	661	273.092	4.34546E-88	gb|KNA03448.1|hypothetical protein SOVF_209100 [Spinacia oleracea]	GO:0055085, GO:0016020, GO:0016021, GO:0022857	A0A0K9Q9T0	
contig_3071	627	161.77	4.99501E-43	gb|KAF1856715.1|hypothetical protein Lal_00044334 [Lupinus albus]	GO:0055085, GO:0016020, GO:0016021, GO:0022857	A0A6A5LBA7	
contig_3182	669	43.5134	0.0291513	ref|XP_026421728.1|WAT1-related protein At1g09380-like isoform X1 [Papaver somniferum]	GO:0055085, GO:0016020, GO:0016021, GO:0022857	A0A4Y7IIW8	
contig_3305	798	129.798	3.35942E-32	gb|KNA03448.1|hypothetical protein SOVF_209100 [Spinacia oleracea]	GO:0055085, GO:0016020, GO:0016021, GO:0022857	A0A0K9Q9T0	
contig_2446	507	85.1149	8.95173E-18	gb|EEF22305.1|Cobalt-zinc-cadmium resistance protein czcB, putative [Ricinus communis]	GO:0055085, GO:0016020, GO:0022857	B9TPA9	
contig_2895	673	55.4546	1.38269E-7	gb|EEF24712.1|conserved hypothetical protein, partial [Ricinus communis]	GO:0055085, GO:0016020, GO:0022857	B9THF1	
contig_3088	529	42.743	0.0315272	gb|KAF1853837.1|hypothetical protein Lal_00007103 [Lupinus albus]	GO:0055085, GO:0016020, GO:0022857	A0A6A5KWI0	
contig_360	878	455.292	3.00362E-148	gb|KAF1857576.1|hypothetical protein Lal_00014585 [Lupinus albus]	GO:0055085, GO:0015562, GO:0016020, GO:0016021, GO:0022857	A0A6A5L914	
contig_2426	652	237.269	2.22074E-69	gb|KAF1855521.1|hypothetical protein Lal_00002652 [Lupinus albus]	GO:0055085, GO:0015562, GO:0016020, GO:0016021, GO:0022857	A0A6A5L375	
contig_2622	666	74.3294	1.28218E-12	gb|KAF1855865.1|hypothetical protein Lal_00001502 [Lupinus albus]	GO:0055085, GO:0015562, GO:0016020, GO:0016021, GO:0022857	A0A6A5L8U7	
contig_142	705	310.071	3.28573E-102	dbj|GFC13558.1|outer membrane protein OprM precursor, putative [Tanacetum cinerariifolium]	GO:0055085, GO:0015562, GO:0016020, GO:0022857	A0A699NFV0	
contig_884	595	44.2838	0.0180365	dbj|GEU28475.1|outer membrane protein OprM precursor, putative [Tanacetum cinerariifolium]	GO:0055085, GO:0015562, GO:0016020, GO:0022857	A0A699GK24	
contig_483	544	53.1434	1.4393E-6	dbj|GFD23628.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0055085, GO:0015562	A0A699UQE6	
contig_2047	928	38.891	1.88545	gb|OUS44615.1|hypothetical protein BE221DRAFT_148754 [Ostreococcus tauri]	GO:0055085, GO:0015562	A0A1Y5ICC5	
contig_2884	505	43.1282	0.0176796	gb|OUS44615.1|hypothetical protein BE221DRAFT_148754 [Ostreococcus tauri]	GO:0055085, GO:0015562	A0A1Y5ICC5	
contig_2496	657	94.7449	1.38869E-19	gb|KAF1857612.1|hypothetical protein Lal_00014623 [Lupinus albus]	GO:0055085, GO:0003824, GO:0016020, GO:0016021, GO:0015293	A0A6A5LG27	
contig_1163	725	147.517	1.93859E-37	dbj|GEU28072.1|very-long-chain 3-oxoacyl-CoA reductase 1 [Tanacetum cinerariifolium]	GO:0003677, GO:0055085, GO:0003824, GO:0016020, GO:0016021, GO:0016787, GO:0003676	A0A699GDX9	
contig_89	528	147.517	4.60228E-39	gb|KAF1856350.1|hypothetical protein Lal_00001468 [Lupinus albus]	GO:0000166, GO:0055085, GO:0016020, GO:0016021, GO:0140359, GO:0005524	A0A6A5L8R6	
contig_868	553	40.817	0.185857	gb|PTQ33603.1|hypothetical protein MARPO_0087s0041 [Marchantia polymorpha]	GO:0000166, GO:0055085, GO:0016020, GO:0016021, GO:0140359, GO:0005524	A0A2R6WIE2	
contig_1269	630	67.3958	1.91558E-10	gb|PNX77176.1|ABC transporter A family member 7-like protein, partial [Trifolium pratense]	GO:0000166, GO:0055085, GO:0016020, GO:0016021, GO:0140359, GO:0005524	A0A2K3LF74	
contig_1898	532	46.595	0.00190781	dbj|GIL71701.1|hypothetical protein Vretifemale_2195 [Volvox reticuliferus]	GO:0000166, GO:0055085, GO:0016020, GO:0016021, GO:0140359, GO:0005524	A0A8J4D425	
contig_2008	512	320.472	2.65366E-107	gb|KAF1853246.1|hypothetical protein Lal_00009607 [Lupinus albus]	GO:0000166, GO:0055085, GO:0016020, GO:0016021, GO:0140359, GO:0005524	A0A6A5KX03	
contig_2132	720	40.4318	0.542825	gb|KAG2425086.1|hypothetical protein HXX76_013995 [Chlamydomonas incerta]	GO:0000166, GO:0055085, GO:0016020, GO:0016021, GO:0140359, GO:0005524	A0A835SGG0	
contig_3094	631	286.189	4.77954E-91	gb|KAF1856199.1|hypothetical protein Lal_00000676 [Lupinus albus]	GO:0000166, GO:0055085, GO:0016020, GO:0016021, GO:0140359, GO:0005524	A0A6A5L619	
contig_3298	503	230.335	3.51673E-70	gb|KAF1856199.1|hypothetical protein Lal_00000676 [Lupinus albus]	GO:0000166, GO:0055085, GO:0016020, GO:0016021, GO:0140359, GO:0005524	A0A6A5L619	
contig_3371	756	427.943	3.2401E-148	gb|KAF1853246.1|hypothetical protein Lal_00009607 [Lupinus albus]	GO:0000166, GO:0055085, GO:0016020, GO:0016021, GO:0140359, GO:0005524	A0A6A5KX03	
contig_161	601	228.409	5.29364E-73	gb|EEF24904.1|ATP binding cassette (abc) transporter, putative [Ricinus communis]	GO:0000166, GO:0055085, GO:0022857, GO:0016787, GO:0005524, GO:0005886	B9TGW1	
contig_1007	608	38.891	1.03614	gb|ONM39102.1|zinc finger protein-related [Zea mays]	GO:0055072	A0A1D6NF57	
contig_3324	670	32.3426	144.497	gb|RCV18221.1|hypothetical protein SETIT_3G282500v2 [Setaria italica]	GO:0051762, GO:0016020, GO:0016021, GO:0009975	A0A368QJV3	
contig_1501	594	39.6614	0.493355	ref|XP_002507017.1|predicted protein, partial [Micromonas commoda]	GO:0005789, GO:0016020, GO:0016021, GO:0051604	C1FF04	
contig_498	548	36.1946	4.57018	ref|XP_009803751.1|PREDICTED: heterogeneous nuclear ribonucleoprotein U-like protein 2 [Nicotiana sylvestris]	GO:0048188, GO:0000976, GO:1990904, GO:0005634, GO:0051568	A0A1U7YI16, A0A1S4DQE4	
contig_1904	563	40.0466	0.125365	dbj|GFD41573.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0050896, GO:0009881	A0A699W4A8	
contig_244	504	35.4242	5.86034	gb|RWW04696.1|hypothetical protein GW17_00032062, partial [Ensete ventricosum]	GO:0048856, GO:0005576	A0A444E2W4	
contig_263	518	36.1946	3.35807	dbj|GBF99937.1|calcium homeostasis regulater C [Raphidocelis subcapitata]	GO:0048564	A0A2V0PQY6	
contig_749	562	38.1206	1.19703	gb|KAF2285383.1|hypothetical protein GH714_003375 [Hevea brasiliensis]	GO:0048544	A0A6A6KBA8	
contig_2055	786	37.3502	4.77439	gb|RVW88375.1|putative clathrin assembly protein [Vitis vinifera]	GO:0072583, GO:0051179, GO:0048268, GO:0030276, GO:0005543, GO:0030136, GO:0005545	A0A438HV99	
contig_715	503	67.3958	8.9145E-11	dbj|GEZ90867.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0046677	A0A699IW77	
contig_3282	895	118.627	6.04335E-27	dbj|GEZ90867.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0046677	A0A699IW77	
contig_751	539	34.2686	20.46	gb|KAB1225768.1|Laccase-4 [Morella rubra]	GO:0046274, GO:0048046, GO:0046872, GO:0016491, GO:0005507, GO:0052716, GO:0005576	A0A6A1WPT6	
contig_3288	615	36.1946	6.91736	gb|RWV97244.1|hypothetical protein GW17_00039982 [Ensete ventricosum]	GO:0048046, GO:0046274, GO:0046872, GO:0016491, GO:0005507, GO:0052716, GO:0005576	A0A444DGI7	
contig_599	527	37.7354	1.61158	ref|XP_016730650.2|polyphenol oxidase, chloroplastic-like, partial [Gossypium hirsutum]	GO:0046872, GO:0016491, GO:0004097, GO:0046148	A0A1U8MV00	
contig_723	565	37.3502	2.14304	gb|AEY79826.1|polyphenol oxidase [Triticum aestivum]	GO:0046872, GO:0016491, GO:0004097, GO:0046148	H2DPU3, A0A446MQK1	
contig_1528	556	352.443	1.3873E-120	gb|KNA03482.1|hypothetical protein SOVF_208770, partial [Spinacia oleracea]	GO:0000166, GO:0005524, GO:0045900	A0A0K9Q878	
contig_3328	507	33.8834	7.66895	emb|VFR01127.1|unnamed protein product [Cuscuta campestris]	GO:0003714, GO:0016020, GO:0016021, GO:0045892	A0A484NL27	
contig_3156	514	55.8398	2.08826E-7	dbj|GFC00290.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0003677, GO:0045892	A0A699N477	
contig_3413	544	49.2914	1.73842E-4	gb|KAF1854372.1|hypothetical protein Lal_00011143 [Lupinus albus]	GO:0008697, GO:0016861, GO:0045490, GO:0016853	A0A6A5L6X2	
contig_855	634	37.7354	2.48984	emb|CAD6218780.1|unnamed protein product [Miscanthus lutarioriparius]	GO:0016757, GO:0047262, GO:0016740, GO:0045489	A0A811NAF2	
contig_1114	628	416.387	2.05098E-144	gb|KAF1853238.1|hypothetical protein Lal_00009599 [Lupinus albus]	GO:0016668, GO:0000166, GO:0050660, GO:0016491, GO:0045454, GO:0004148	A0A6A5KZJ4	
contig_2001	782	426.402	5.12921E-147	gb|KAF1857516.1|hypothetical protein Lal_00042836 [Lupinus albus]	GO:0016668, GO:0000166, GO:0016491, GO:0050660, GO:0045454, GO:0004148	A0A6A5L8V8	
contig_2357	534	208.764	1.49088E-63	gb|KAF1853238.1|hypothetical protein Lal_00009599 [Lupinus albus]	GO:0016668, GO:0000166, GO:0050660, GO:0016491, GO:0045454, GO:0004148	A0A6A5KZJ4	
contig_312	519	81.2629	1.27051E-15	gb|EEF26048.1|conserved hypothetical protein, partial [Ricinus communis]	GO:0044718, GO:0015344	B9TDL6	
contig_320	1091	51.9878	1.96722E-4	gb|EEF26048.1|conserved hypothetical protein, partial [Ricinus communis]	GO:0044718, GO:0015344	B9TDL6	
contig_3085	507	41.2022	0.0966354	gb|EEF26048.1|conserved hypothetical protein, partial [Ricinus communis]	GO:0044718, GO:0015344	B9TDL6	
contig_3106	724	41.5874	0.176765	ref|XP_022935441.1|acyltransferase-like protein At3g26840, chloroplastic [Cucurbita moschata]	GO:0016746, GO:0008374, GO:1901576, GO:0016740, GO:0004144, GO:0044249	A0A6J1F4N3	
contig_1551	788	89.3521	1.52717E-17	gb|KAF6261329.1|ribonuclease H-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	GO:0090305, GO:0003723, GO:0005737, GO:0090502, GO:0046872, GO:0004518, GO:0004519, GO:0071704, GO:0044238, GO:0016787, GO:0004523, GO:0003676	A0A7J7QCY8	
contig_658	599	207.608	6.05261E-66	dbj|GFD11738.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0016851, GO:0044205, GO:0005524, GO:0016887	A0A699TRF9	
contig_2584	632	38.1206	1.91232	dbj|GAU18100.1|hypothetical protein TSUD_52110 [Trifolium subterraneum]	GO:0005737, GO:0005096, GO:0043547	A0A2Z6LZU4	
contig_1615	623	34.2686	24.5488	gb|EPS71300.1|hypothetical protein M569_03459, partial [Genlisea aurea]	GO:0043248	S8CWR3	
contig_2686	635	33.113	43.706	gb|OMO86233.1|Pectinesterase inhibitor [Corchorus capsularis]	GO:0004857, GO:0043086, GO:0046910	A0A1R3IUJ1	
contig_1393	521	86.6557	2.32837E-17	gb|KAF1857294.1|hypothetical protein Lal_00015333 [Lupinus albus]	GO:0055085, GO:0015562, GO:0016020, GO:0016021, GO:0042908, GO:0022857, GO:0005886	A0A6A5L3Y9	
contig_1494	588	91.2781	1.08609E-18	gb|KAF1857294.1|hypothetical protein Lal_00015333 [Lupinus albus]	GO:0055085, GO:0015562, GO:0016020, GO:0016021, GO:0042908, GO:0022857, GO:0005886	A0A6A5L3Y9	
contig_2163	876	267.7	8.08715E-80	gb|KAF1857530.1|hypothetical protein Lal_00042850 [Lupinus albus]	GO:0055085, GO:0015562, GO:0016020, GO:0016021, GO:0042908, GO:0022857, GO:0005886	A0A6A5LCF7	
contig_1753	542	43.5134	0.0180332	ref|XP_001418867.1|MOP(MATE) family transporter: multidrug efflux [Ostreococcus lucimarinus CCE9901]	GO:0055085, GO:0015297, GO:0016020, GO:0016021, GO:0042908, GO:0042910	A4RZV9	
contig_191	1268	249.21	3.20719E-70	gb|KAF1856322.1|hypothetical protein Lal_00000008 [Lupinus albus]	GO:0008519, GO:0046872, GO:0072488, GO:0016020, GO:0016021, GO:0008137, GO:0016651, GO:0042773, GO:0016787, GO:0051536, GO:0016810, GO:0009536	A0A6A5LCE3	
contig_288	520	133.265	1.54459E-33	gb|KAF1856322.1|hypothetical protein Lal_00000008 [Lupinus albus]	GO:0008519, GO:0046872, GO:0072488, GO:0016020, GO:0016021, GO:0008137, GO:0016651, GO:0042773, GO:0016787, GO:0051536, GO:0016810, GO:0009536	A0A6A5LCE3	
contig_2555	553	36.965	3.78199	gb|KAF1856322.1|hypothetical protein Lal_00000008 [Lupinus albus]	GO:0008519, GO:0046872, GO:0072488, GO:0016020, GO:0016021, GO:0008137, GO:0016651, GO:0042773, GO:0016787, GO:0051536, GO:0016810, GO:0009536	A0A6A5LCE3	
contig_1927	1224	185.267	1.64575E-51	gb|KAF1856531.1|hypothetical protein Lal_00049057 [Lupinus albus]	GO:0016020, GO:0016021, GO:0008137, GO:0042773, GO:0009536	A0A6A5L5T1	
contig_3091	550	189.119	3.29957E-55	dbj|GFB30449.1|subunit 2 of NADH-plastoquinone oxidoreductase, chloroplastic [Tanacetum cinerariifolium]	GO:0009507, GO:0016020, GO:0016021, GO:0009579, GO:0008137, GO:0042773, GO:0009536	A0A699LE49	
contig_3018	586	36.5798	4.18296	gb|QDM39182.1|BAHD acyltransferase-like 18 [Taxus x media]	GO:0016746, GO:0042617, GO:0016740	A0A515L557	
contig_205	647	151.369	2.69755E-39	gb|KAF1853178.1|hypothetical protein Lal_00009538 [Lupinus albus]	GO:0045330, GO:0016020, GO:0030599, GO:0045490, GO:0042545	A0A6A5KZD1	
contig_2564	515	56.225	6.61329E-7	gb|KAF1853178.1|hypothetical protein Lal_00009538 [Lupinus albus]	GO:0045330, GO:0016020, GO:0030599, GO:0045490, GO:0042545	A0A6A5KZD1	
contig_3276	530	181.8	1.08771E-50	gb|KAF1853178.1|hypothetical protein Lal_00009538 [Lupinus albus]	GO:0045330, GO:0016020, GO:0030599, GO:0045490, GO:0042545	A0A6A5KZD1	
contig_742	502	58.151	1.42604E-7	ref|XP_006848989.2|pectinesterase QRT1 isoform X1 [Amborella trichopoda]	GO:0052689, GO:0045330, GO:0030599, GO:0045490, GO:0042545, GO:0016787	W1PTF6	
contig_374	529	35.4242	8.9816	ref|XP_020269269.1|probable pectinesterase 8 [Asparagus officinalis]	GO:0045330, GO:0030599, GO:0045490, GO:0042545, GO:0016787	A0A5P1EMP0	
contig_1047	642	37.7354	2.90201	emb|VFQ71930.1|unnamed protein product [Cuscuta campestris]	GO:0045330, GO:0030599, GO:0045490, GO:0042545, GO:0016787	A0A484L6M0	
contig_2778	549	282.722	5.45885E-94	gb|KAF1853315.1|hypothetical protein Lal_00009680 [Lupinus albus]	GO:0045330, GO:0030599, GO:0045490, GO:0042545, GO:0016787	A0A6A5L153	
contig_845	575	36.5798	4.19929	gb|PHT30291.1|Pectinesterase/pectinesterase inhibitor 18 [Capsicum baccatum]	GO:0004857, GO:0043086, GO:0016020, GO:0045330, GO:0016021, GO:0030599, GO:0005576, GO:0042545, GO:0045490, GO:0016787	A0A2G2VBB7	
contig_2572	864	231.491	3.31643E-72	dbj|GFC69662.1|argininosuccinate lyase, chloroplastic [Tanacetum cinerariifolium]	GO:0003824, GO:0042450, GO:0016829, GO:0004056	A0A699QDT9	
contig_1982	530	58.151	1.81792E-7	ref|XP_007509383.1|GTP-binding protein EngA [Bathycoccus prasinos]	GO:0000166, GO:0005525, GO:0042254	K8EMA3	
contig_2886	504	36.1946	3.56228	gb|EYU32883.1|hypothetical protein MIMGU_mgv1a010024mg [Erythranthe guttata]	GO:0005525, GO:0000166, GO:0005739, GO:0003924, GO:1901363, GO:0097159, GO:0042254	A0A022QZX3	
contig_681	732	72.0182	1.49342E-11	dbj|GFB25822.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0008961, GO:0042158, GO:0005887	A0A699L6W6	
contig_81	709	49.2914	6.0922E-4	dbj|GEU28636.1|protein App1-like [Tanacetum cinerariifolium]	GO:0036211, GO:0042834, GO:0005737, GO:0004077, GO:0004594	A0A699GN42	
contig_218	715	55.0694	4.39185E-6	gb|EEF26029.1|conserved hypothetical protein, partial [Ricinus communis]	GO:0008381, GO:0055085, GO:0016020, GO:0034220, GO:0016021	B9TDN4	
contig_2737	523	36.5798	4.41248	dbj|GEU28682.1|beta-galactosidase 17 [Tanacetum cinerariifolium]	GO:0033539, GO:0016787, GO:0003995	A0A699GHH6	
contig_3355	650	34.6538	27.5416	dbj|GAU29348.1|hypothetical protein TSUD_31540 [Trifolium subterraneum]	GO:0033169, GO:0032454	A0A2Z6MC42	
contig_2418	538	92.8189	2.00992E-20	gb|KAF1856382.1|hypothetical protein Lal_00049237 [Lupinus albus]	GO:0003677, GO:0070063, GO:0003824, GO:0032784, GO:0047627	A0A6A5LCK2	
contig_2893	540	176.022	1.75741E-52	gb|KAF1856382.1|hypothetical protein Lal_00049237 [Lupinus albus]	GO:0003677, GO:0070063, GO:0003824, GO:0032784, GO:0047627	A0A6A5LCK2	
contig_237	564	44.2838	0.0146074	gb|KOM30446.1|hypothetical protein LR48_Vigan2292s000200 [Vigna angularis]	GO:0003677, GO:0032508, GO:0003678, GO:0000166, GO:0016787, GO:0005524	A0A0L9TJ19	
contig_898	533	52.7582	1.24588E-5	ref|XP_002500255.1|DNA methyltransferase [Micromonas commoda]	GO:0003886, GO:0090116, GO:0016740, GO:0008168, GO:0032259	C1DYY9	
contig_1050	544	36.1946	3.81647	gb|RLN35732.1|hypothetical protein C2845_PM03G01170 [Panicum miliaceum]	GO:0008171, GO:0008168, GO:0016740, GO:0032259	A0A3L6TC37	
contig_1189	572	38.891	0.549091	tpg|DAD24233.1|TPA_asm: hypothetical protein HUJ06_025696 [Nelumbo nucifera]	GO:0008171, GO:0008168, GO:0016740, GO:0032259	A0A822XWW0	
contig_859	634	37.3502	3.43217	gb|PNY03703.1|regulatory-associated protein of TOR 1-like [Trifolium pratense]	GO:0031929, GO:0031931	A0A2K3NL07	
contig_1991	775	183.341	4.98335E-54	gb|EEF25544.1|3-oxoacyl-[acyl-carrier-protein] reductase, putative [Ricinus communis]	GO:0004316, GO:0016616, GO:0016491, GO:0030497	B9TF21	
contig_1299	552	36.1946	2.41723	gb|PIA28634.1|hypothetical protein AQUCO_06800062v1 [Aquilegia coerulea]	GO:0030418, GO:0030410, GO:0016740	A0A2G5CBJ1	
contig_650	510	37.3502	1.9998	gb|RDX75355.1|Myosin-15, partial [Mucuna pruriens]	GO:0016459, GO:0003779, GO:0005516, GO:0030048, GO:0005524, GO:0003774	A0A371FAP9	
contig_1214	689	54.6842	4.39867E-6	gb|KAF1856568.1|hypothetical protein Lal_00012838 [Lupinus albus]	GO:0071421, GO:0016020, GO:0005384, GO:0016021, GO:0030026	A0A6A5L939	
contig_579	582	54.6842	3.81135E-6	gb|KAF8685923.1|hypothetical protein HU200_043843 [Digitaria exilis]	GO:0046873, GO:0016020, GO:0016021, GO:0030001	A0A835EH46	
contig_2841	507	36.1946	4.11662	gb|TYI78576.1|hypothetical protein E1A91_D06G222300v1 [Gossypium mustelinum]	GO:0046873, GO:0016020, GO:0016021, GO:0030001	A0A5D2UR79	
contig_2461	1068	63.1586	5.87523E-8	gb|KAF1854418.1|hypothetical protein Lal_00008442 [Lupinus albus]	GO:0046872, GO:0046873, GO:0016020, GO:0016021, GO:0030001	A0A6A5L2Y9	
contig_967	547	95.1301	3.50566E-20	gb|KAF1858163.1|hypothetical protein Lal_00010686 [Lupinus albus]	GO:0005739, GO:0016491, GO:0046872, GO:0004174, GO:0022904, GO:0022900, GO:0005743, GO:0051536	A0A6A5LER3	
contig_1735	822	67.781	7.435E-10	dbj|GFA86378.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0046872, GO:0016020, GO:0009055, GO:0016021, GO:0020037, GO:0022900	A0A699KCR9	
contig_2969	959	80.4925	4.3158E-15	dbj|GFD01954.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0046872, GO:0009055, GO:0020037, GO:0022900	A0A699SZ38	
contig_181	741	35.8094	3.90482	gb|EEF24229.1|conserved hypothetical protein, partial [Ricinus communis]	GO:0016020, GO:0009055, GO:0016021, GO:0020037, GO:0022900	B9TIT4	
contig_321	772	56.9954	1.3454E-7	gb|EEF24229.1|conserved hypothetical protein, partial [Ricinus communis]	GO:0016020, GO:0009055, GO:0016021, GO:0020037, GO:0022900	B9TIT4	
contig_3110	824	246.128	5.05669E-79	gb|EMS61606.1|Electron transfer flavoprotein subunit beta [Triticum urartu]	GO:0005759, GO:0005739, GO:0009055, GO:0022900	M7ZPP4	
